anomaly_type,競馬場,競走年月日,レース番号,detail
PAYBACK_MULTIROW,上山,20030413,8,source_rows=2
PAYBACK_MULTIROW,上山,20030622,6,source_rows=2
PAYBACK_MULTIROW,中京,19990102,1,source_rows=2
PAYBACK_MULTIROW,中京,20010102,7,source_rows=2
PAYBACK_MULTIROW,中京,20020102,4,source_rows=2
PAYBACK_MULTIROW,中津,19980101,4,source_rows=2
PAYBACK_MULTIROW,中津,19980222,2,source_rows=2
PAYBACK_MULTIROW,中津,19980803,5,source_rows=2
PAYBACK_MULTIROW,中津,19980823,7,source_rows=2
PAYBACK_MULTIROW,中津,19980920,10,source_rows=2
PAYBACK_MULTIROW,中津,19990125,4,source_rows=2
PAYBACK_MULTIROW,中津,19990220,2,source_rows=2
PAYBACK_MULTIROW,中津,19991011,2,source_rows=2
PAYBACK_MULTIROW,中津,20000204,10,source_rows=2
PAYBACK_MULTIROW,中津,20000415,3,source_rows=2
PAYBACK_MULTIROW,中津,20000615,4,source_rows=2
PAYBACK_MULTIROW,佐賀,19980215,6,source_rows=2
PAYBACK_MULTIROW,佐賀,19980802,4,source_rows=2
PAYBACK_MULTIROW,佐賀,19981102,2,source_rows=2
PAYBACK_MULTIROW,佐賀,19981128,5,source_rows=2
PAYBACK_MULTIROW,佐賀,19990116,2,source_rows=2
PAYBACK_MULTIROW,佐賀,19990314,2,source_rows=2
PAYBACK_MULTIROW,佐賀,19990314,7,source_rows=2
PAYBACK_MULTIROW,佐賀,19990321,8,source_rows=2
PAYBACK_MULTIROW,佐賀,19990410,7,source_rows=2
PAYBACK_MULTIROW,佐賀,19990515,9,source_rows=2
PAYBACK_MULTIROW,佐賀,19990530,9,source_rows=2
PAYBACK_MULTIROW,佐賀,19990606,7,source_rows=2
PAYBACK_MULTIROW,佐賀,19990719,6,source_rows=2
PAYBACK_MULTIROW,佐賀,19990724,1,source_rows=2
PAYBACK_MULTIROW,佐賀,19990801,5,source_rows=2
PAYBACK_MULTIROW,佐賀,19990815,9,source_rows=2
PAYBACK_MULTIROW,佐賀,19990822,4,source_rows=2
PAYBACK_MULTIROW,佐賀,19990904,9,source_rows=2
PAYBACK_MULTIROW,佐賀,19990923,6,source_rows=2
PAYBACK_MULTIROW,佐賀,20000131,8,source_rows=2
PAYBACK_MULTIROW,佐賀,20000318,10,source_rows=2
PAYBACK_MULTIROW,佐賀,20000325,7,source_rows=2
PAYBACK_MULTIROW,佐賀,20000507,8,source_rows=2
PAYBACK_MULTIROW,佐賀,20000521,5,source_rows=2
PAYBACK_MULTIROW,佐賀,20000620,10,source_rows=2
PAYBACK_MULTIROW,佐賀,20000728,2,source_rows=2
PAYBACK_MULTIROW,佐賀,20001001,11,source_rows=2
PAYBACK_MULTIROW,佐賀,20010714,6,source_rows=2
PAYBACK_MULTIROW,佐賀,20010924,8,source_rows=2
PAYBACK_MULTIROW,佐賀,20011114,9,source_rows=2
PAYBACK_MULTIROW,佐賀,20011201,2,source_rows=2
PAYBACK_MULTIROW,佐賀,20020106,9,source_rows=2
PAYBACK_MULTIROW,佐賀,20020219,4,source_rows=2
PAYBACK_MULTIROW,佐賀,20020224,9,source_rows=2
PAYBACK_MULTIROW,佐賀,20020325,4,source_rows=2
PAYBACK_MULTIROW,佐賀,20020526,5,source_rows=2
PAYBACK_MULTIROW,佐賀,20020824,4,source_rows=2
PAYBACK_MULTIROW,佐賀,20021026,10,source_rows=2
PAYBACK_MULTIROW,佐賀,20021110,3,source_rows=2
PAYBACK_MULTIROW,佐賀,20021207,6,source_rows=2
PAYBACK_MULTIROW,佐賀,20021214,8,source_rows=2
PAYBACK_MULTIROW,佐賀,20030223,8,source_rows=2
PAYBACK_MULTIROW,佐賀,20030705,4,source_rows=2
PAYBACK_MULTIROW,佐賀,20031101,9,source_rows=2
PAYBACK_MULTIROW,佐賀,20031123,7,source_rows=2
PAYBACK_MULTIROW,佐賀,20031223,4,source_rows=2
PAYBACK_MULTIROW,佐賀,20031228,6,source_rows=2
PAYBACK_MULTIROW,佐賀,20040329,3,source_rows=2
PAYBACK_MULTIROW,佐賀,20040329,4,source_rows=2
PAYBACK_MULTIROW,佐賀,20040410,9,source_rows=2
PAYBACK_MULTIROW,佐賀,20040704,8,source_rows=2
PAYBACK_MULTIROW,佐賀,20040725,4,source_rows=2
PAYBACK_MULTIROW,佐賀,20040801,8,source_rows=2
PAYBACK_MULTIROW,佐賀,20041023,9,source_rows=2
PAYBACK_MULTIROW,佐賀,20050116,6,source_rows=2
PAYBACK_MULTIROW,佐賀,20050129,1,source_rows=2
PAYBACK_MULTIROW,佐賀,20050221,5,source_rows=2
PAYBACK_MULTIROW,佐賀,20050228,4,source_rows=2
PAYBACK_MULTIROW,佐賀,20050827,5,source_rows=2
PAYBACK_MULTIROW,佐賀,20050911,5,source_rows=2
PAYBACK_MULTIROW,佐賀,20050924,4,source_rows=2
PAYBACK_MULTIROW,佐賀,20061022,6,source_rows=2
PAYBACK_MULTIROW,佐賀,20061209,6,source_rows=2
PAYBACK_MULTIROW,佐賀,20070104,6,source_rows=2
PAYBACK_MULTIROW,佐賀,20070108,8,source_rows=2
PAYBACK_MULTIROW,佐賀,20070421,3,source_rows=2
PAYBACK_MULTIROW,佐賀,20070504,5,source_rows=2
PAYBACK_MULTIROW,佐賀,20070506,3,source_rows=2
PAYBACK_MULTIROW,佐賀,20070721,8,source_rows=2
PAYBACK_MULTIROW,佐賀,20070815,7,source_rows=2
PAYBACK_MULTIROW,佐賀,20070901,1,source_rows=2
PAYBACK_MULTIROW,佐賀,20070909,1,source_rows=2
PAYBACK_MULTIROW,佐賀,20070929,3,source_rows=2
PAYBACK_MULTIROW,佐賀,20071006,6,source_rows=2
PAYBACK_MULTIROW,佐賀,20080315,1,source_rows=2
PAYBACK_MULTIROW,佐賀,20080426,3,source_rows=2
PAYBACK_MULTIROW,佐賀,20080504,7,source_rows=2
PAYBACK_MULTIROW,佐賀,20080608,1,source_rows=2
PAYBACK_MULTIROW,佐賀,20080705,4,source_rows=2
PAYBACK_MULTIROW,佐賀,20080706,9,source_rows=2
PAYBACK_MULTIROW,佐賀,20080824,8,source_rows=2
PAYBACK_MULTIROW,佐賀,20081018,4,source_rows=2
PAYBACK_MULTIROW,佐賀,20081130,1,source_rows=2
PAYBACK_MULTIROW,佐賀,20090110,6,source_rows=2
PAYBACK_MULTIROW,佐賀,20090221,7,source_rows=2
PAYBACK_MULTIROW,佐賀,20090613,10,source_rows=2
PAYBACK_MULTIROW,佐賀,20090906,9,source_rows=2
